Id,Action,Extension,Date,Name,"IP Address"
152,"User kupul-ca performed a check in to table #__modules",Check-in,"2023-11-28 09:44:58 UTC","CCP User",Disabled
153,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Categories,"2023-11-28 09:46:16 UTC","CCP User",Disabled
154,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Contacts,"2023-11-28 09:48:37 UTC","CCP User",Disabled
155,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Menus,"2023-11-28 09:49:40 UTC","CCP User",Disabled
156,"User kupul-ca performed a check in to table #__menu",Check-in,"2023-11-28 09:49:40 UTC","CCP User",Disabled
157,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Menus,"2023-11-28 09:52:02 UTC","CCP User",Disabled
158,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Menus,"2023-11-28 09:52:29 UTC","CCP User",Disabled
159,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Menus,"2023-11-28 09:53:02 UTC","CCP User",Disabled
160,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Menus,"2023-11-28 09:53:31 UTC","CCP User",Disabled
161,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Menus,"2023-11-28 09:53:48 UTC","CCP User",Disabled
162,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Menus,"2023-11-28 09:58:30 UTC","CCP User",Disabled
163,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Modules,"2023-11-28 10:00:31 UTC","CCP User",Disabled
164,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Modules,"2023-11-28 10:04:45 UTC","CCP User",Disabled
165,"User kupul-ca performed a check in to table #__modules",Check-in,"2023-11-28 10:04:45 UTC","CCP User",Disabled
166,"User kupul-ca installed the library Smart Slider 3 Library",Installer,"2023-11-28 10:05:23 UTC","CCP User",Disabled
167,"User kupul-ca installed the module Smart Slider 3 Module",Installer,"2023-11-28 10:05:23 UTC","CCP User",Disabled
168,"User kupul-ca installed the plugin Smart Slider 3 Updater Plugin",Installer,"2023-11-28 10:05:23 UTC","CCP User",Disabled
169,"User kupul-ca installed the plugin Smart Slider 3 System Plugin",Installer,"2023-11-28 10:05:23 UTC","CCP User",Disabled
170,"User kupul-ca installed the component Smart Slider 3",Installer,"2023-11-28 10:05:23 UTC","CCP User",Disabled
171,"User kupul-ca installed the library Smart Slider 3 Library",Installer,"2023-11-28 10:28:49 UTC","CCP User",Disabled
172,"User kupul-ca installed the module Smart Slider 3 Module",Installer,"2023-11-28 10:28:49 UTC","CCP User",Disabled
173,"User kupul-ca installed the plugin Smart Slider 3 Updater Plugin",Installer,"2023-11-28 10:28:49 UTC","CCP User",Disabled
174,"User kupul-ca installed the plugin Smart Slider 3 System Plugin",Installer,"2023-11-28 10:28:49 UTC","CCP User",Disabled
175,"User kupul-ca installed the component Smart Slider 3",Installer,"2023-11-28 10:28:49 UTC","CCP User",Disabled
176,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Modules,"2023-11-28 10:42:34 UTC","CCP User",Disabled
177,"User kupul-ca performed a check in to table #__modules",Check-in,"2023-11-28 10:42:34 UTC","CCP User",Disabled
178,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Modules,"2023-11-28 10:47:50 UTC","CCP User",Disabled
179,"User kupul-ca performed a check in to table #__modules",Check-in,"2023-11-28 10:47:50 UTC","CCP User",Disabled
180,"User kupul-ca logged in to admin",Users,"2023-11-28 11:10:48 UTC","CCP User",Disabled
181,"User kupul-ca logged in to admin",Users,"2023-11-29 09:23:23 UTC","CCP User",Disabled
182,"User kupul-ca performed a check in to table #__modules",Check-in,"2023-11-29 09:43:57 UTC","CCP User",Disabled
183,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Modules,"2023-11-29 09:43:57 UTC","CCP User",Disabled
184,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Modules,"2023-11-29 09:44:30 UTC","CCP User",Disabled
185,"User kupul-ca performed a check in to table #__modules",Check-in,"2023-11-29 09:44:30 UTC","CCP User",Disabled
186,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Modules,"2023-11-29 09:44:44 UTC","CCP User",Disabled
187,"User kupul-ca performed a check in to table #__modules",Check-in,"2023-11-29 09:44:44 UTC","CCP User",Disabled
188,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Modules,"2023-11-29 09:47:16 UTC","CCP User",Disabled
189,"User kupul-ca performed a check in to table #__modules",Check-in,"2023-11-29 09:47:16 UTC","CCP User",Disabled
190,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Modules,"2023-11-29 09:57:25 UTC","CCP User",Disabled
191,"User kupul-ca performed a check in to table #__modules",Check-in,"2023-11-29 09:57:25 UTC","CCP User",Disabled
192,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Modules,"2023-11-29 09:58:50 UTC","CCP User",Disabled
193,"User kupul-ca performed a check in to table #__modules",Check-in,"2023-11-29 09:58:50 UTC","CCP User",Disabled
194,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Modules,"2023-11-29 09:59:10 UTC","CCP User",Disabled
195,"User kupul-ca performed a check in to table #__modules",Check-in,"2023-11-29 09:59:10 UTC","CCP User",Disabled
196,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Media,"2023-11-29 10:13:43 UTC","CCP User",Disabled
197,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Modules,"2023-11-29 10:15:42 UTC","CCP User",Disabled
198,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Modules,"2023-11-29 10:16:56 UTC","CCP User",Disabled
